Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,X_res,Y_res,ppi,Cpu Name,Cpu brand,HDD,SSD,Hybrid,Flash_Storage,Gpu brand,os,gpu_AMD,gpu_Intel,gpu_Nvidia,cpu_brand_AMD Processor,cpu_brand_Intel Core i3,cpu_brand_Intel Core i5,cpu_brand_Intel Core i7,cpu_brand_Other Intel Processor
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256 SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5,52161.12,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Nvidia,Others/No OS/Linux,0,0,1,0,0,0,1,0
Asus,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.5,14811.84,0,0,1366,768,111.93520355955211,Intel Celeron Dual,Other Intel Processor,0,0,0,32,Intel,Windows,0,1,0,0,0,0,0,1
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500 HDD,Intel HD Graphics,Linux,2.2,14646.672,0,0,1366,768,100.45466986113651,Intel Celeron Dual,Other Intel Processor,500,0,0,0,Intel,Others/No OS/Linux,0,1,0,0,0,0,0,1
Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,1000 SSD,Intel HD Graphics 620,Windows 10,1.42,150462.72,1,0,2560,1440,209.8006828649808,Intel Core i7,Intel Core i7,0,1000,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,2.4,23976.0,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,67399.2,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,89457.12,0,0,3840,2160,282.42399616439724,Intel Core i7,Intel Core i7,0,512,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.2,77202.72,0,0,1920,1080,165.6321180513006,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1000 HDD,Nvidia GeForce GTX 1050,No OS,2.5,54185.76,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,0,0,0,Nvidia,Others/No OS/Linux,0,0,1,0,0,1,0,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4,500 HDD,Intel HD Graphics 520,Windows 7,2.31,50083.2,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.29,78694.56,1,0,3200,1800,276.053530085501,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Toshiba,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,2.1,32074.56,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,500 HDD,Intel HD Graphics,Windows 10,2.2,19660.32,0,0,1366,768,100.45466986113651,Intel Pentium Quad,Other Intel Processor,500,0,0,0,Intel,Windows,0,1,0,0,0,0,0,1
Lenovo,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,8,512 SSD,Intel HD Graphics 520,Windows 10,1.17,89864.1792,0,1,2560,1440,209.8006828649808,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8,512 SSD,Intel HD Graphics 620,Windows 10,1.05,79866.72,0,1,2160,1440,199.69207064108247,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.4,50562.72,0,1,1920,1080,165.6321180513006,Intel Core i3,Intel Core i3,0,256,0,0,Intel,Windows,0,1,0,0,1,0,0,0
HP,Notebook,14.0,1366x768,Intel Core i5 6200U 2.3GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,1.95,61218.72,0,0,1366,768,111.93520355955211,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,1.7,79333.3872,0,1,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1000 HDD,Intel HD Graphics 500,Windows 10,2.0,18061.92,0,0,1366,768,100.45466986113651,Intel Celeron Dual,Other Intel Processor,1000,0,0,0,Intel,Windows,0,1,0,0,0,0,0,1
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1070,Windows 10,3.78,133146.72,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4,128 SSD,AMD Radeon R5,Windows 10,2.6,26053.92,0,0,1600,900,106.11306214269258,AMD A8-Series 7410,AMD Processor,0,128,0,0,AMD,Windows,1,0,0,1,0,0,0,0
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,64,1000 SSD,Nvidia GeForce GTX 980 ,Windows 10,3.58,211788.0,0,1,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,0,1000,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Razer,Gaming,14.0,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD,Nvidia GeForce GTX 1060,Windows 10,1.95,138474.72,0,0,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8,2000 HDD,Intel HD Graphics 620,Windows 10,2.04,33513.119999999995,0,0,1366,768,100.45466986113651,Intel Core i7,Intel Core i7,2000,0,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.05,89084.16,0,1,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128 SSD,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832,0,1,2560,1600,226.98300468106115,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Mac,0,1,0,0,0,1,0,0
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,84768.48,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512 SSD,Intel HD Graphics 620,Windows 10,1.99,92121.12,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256 SSD,Intel HD Graphics 620,Windows 10,2.04,52161.12,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Razer,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7500U 2.5GHz,16,512 SSD,Intel HD Graphics 620,Windows 10,1.29,95850.72,1,1,3840,2160,352.4651472131677,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Dell,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,32,256 SSD +  1000 HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,149184.0,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,66546.72,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,8,1000 HDD,Intel HD Graphics 620,Windows 10,2.3,24988.8528,1,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,1.99,48304.7136,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,0,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 SSD,Nvidia GeForce 940MX,Windows 10,2.2,44328.96,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500 HDD,Intel HD Graphics 620,Windows 10,2.05,36496.8,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16,256 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,69210.72,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
Acer,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7Y75 1.3GHz,8,256 SSD,Intel HD Graphics 615,Windows 10,1.2,61218.72,1,1,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Fujitsu,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,256 SSD,Intel HD Graphics 520,Windows 10,2.3,34578.72,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.49,51148.8,0,0,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
HP,Notebook,15.6,1366x768,Intel Core i3 6100U 2.3GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,2.07,34632.0,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6,2000 HDD,AMD Radeon 530,Windows 10,2.71,34898.932799999995,0,1,1920,1080,127.33567457123111,AMD A10-Series 9620P,AMD Processor,2000,0,0,0,AMD,Windows,1,0,0,1,0,0,0,0
HP,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,6,1000 HDD,AMD Radeon R5 M330,Windows 10,2.19,40705.92,0,0,1366,768,100.45466986113651,Intel Core i7,Intel Core i7,1000,0,0,0,AMD,Windows,1,0,0,0,0,0,1,0
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1070,Windows 10,2.8,119826.72,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
